Key,Smiles,Group,InitKey
JPO_0000302,COc1ccc(NC(C)C)cc1,JPO,2008214349_78_chem
JPO_0000432,O=C(/C=C/c1cccn1-c1ccc(Cl)cc1C(O)c1cccc2c1OCCO2)OCc1ccccc1,JPO,2008291018_419_chem
JPO_0000029,c1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2cccc(-n3nc(-c4ccccc4)cc3-c3ccccc3)c2)cc1,JPO,2008024698_10_chem
JPO_0000009,Cc1nc(Cl)c2[nH]c(=O)n(-c3ccc(C(C)C)cc3Br)c2n1,JPO,2008007515_75_chem
JPO_0000231,C=Cc1ccc(C2C(=O)OC23CCCC3)cc1,JPO,2008163150_15_chem
JPO_0000210,CCCCCCCCN1/C(=C2\SC(=S)N(CC)C2=O)Sc2ccccc21,JPO,2008149586_28_chem
JPO_0000296,Cc1cc2ccc3ccc(o3)c(=O)c3cc(cc1o2)c1cc3cc2ccc(ccc3cc(C)c(o3)c1=O)o2,JPO,2008214303_12_chem
JPO_0000217,CC(C)(C)c1ccncc1,JPO,2008153105_4_chem
JPO_0000127,COc1cc(/C=C2\CCCN(Cc3ccc(C(C)(C)C)cc3)C2=O)ccc1-n1cnc(C)c1,JPO,2008101015_238_chem
JPO_0000125,c1ccc(-c2ccc(-c3c4ccccc4c(-c4ccc(-c5ccccc5)cc4)c4c(-c5ccccc5)c5ccccc5c(-c5ccccc5)c34)cc2)cc1,JPO,2008098665_57_chem
JPO_0000223,Cc1cccc(N(c2ccccc2)c2ccc(N(c3ccc(N(c4ccccc4)c4cccc(C)c4)cc3)c3ccc(N(c4ccccc4)c4cccc(C)c4)cc3)cc2)c1,JPO,2008159777_18_chem
JPO_0000391,Clc1ccc(Nc2nnc(-c3sccc3SCc3ccncc3)s2)cc1,JPO,2008266294_215_chem
JPO_0000407,Cc1ccc(N(c2ccc(-c3ccc(N(c4ccc5ccccc5c4)c4ccc(C)cc4C)cc3)cc2)c2ccc3ccccc3c2)c(C)c1,JPO,2008275779_18_chem
JPO_0000097,C=CC(=O)OCCCOC(=O)c1ccc(C(=O)OCCOC(=O)C(=C)C)cc1C(=O)OCC(O)COc1ccc(Cc2ccc(OCC3CO3)cc2)cc1,JPO,2008088167_442_chem
JPO_0000200,CC(C)(N)c1ccc(-c2ccc3[nH]ncc3c2N(O)O)nc1,JPO,2008143913_19_chem
JPO_0000319,N=C(N)NC(=O)c1cnn(-c2ccnc3ccccc23)c1C1CC1,JPO,2008222714_2_chem
JPO_0000435,COC(=O)/C=C/c1cccn1-c1ccc(Cl)cc1C(O)c1cccc(OC)c1,JPO,2008291018_506_chem
JPO_0000382,CC(C)(C)c1ccc(-c2nnc(-c3cccc(-c4nnc(-c5ccc(C(C)(C)C)cc5)o4)c3)o2)cc1,JPO,2008255324_35_chem
JPO_0000330,COc1cc2c(cc1OC)-c1ccc3cc4c(cc3c1N(C)C2)OCO4,JPO,2008230977_20_chem
JPO_0000396,Brc1ccc(Nc2nnc(-c3ccccc3OCc3ccncc3)s2)cc1,JPO,2008266295_89_chem
JPO_0000161,Cc1cc(C(c2cc(C(c3cc(C)c(O)c(C)c3C)c3cc(C)c(O)c(C)c3C)cc(C(c3cc(C)c(O)c(C)c3C)c3cc(C)c(O)c(C)c3C)c2)c2cc(C)c(O)c(C)c2C)c(C)c(C)c1O,JPO,2008116677_14_chem
JPO_0000085,CCN(CC)c1ccc(/C=C2/O/C(=N/C3CCCCC3)N(C3CCCCC3)C2=O)cc1,JPO,2008077078_53_chem
JPO_0000328,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,JPO,2008227159_16_chem
JPO_0000070,C(C=Cc1ccc(N(c2ccccc2)c2ccc(-c3ccc(N(c4ccccc4)c4ccc(C=CC=Cc5ccccc5)cc4)cc3)cc2)cc1)=Cc1ccccc1,JPO,2008069363_9_chem
JPO_0000254,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1c2c(nc3c1CCC3)CCCC2,JPO,2008184403_8_chem
JPO_0000103,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,JPO,2008088245_2_chem
JPO_0000153,COc1cc2c(c(OC)c1C)OCO2,JPO,2008115159_4_chem
JPO_0000261,OC1CCC(C2CCC(O)CC2)CC1,JPO,2008189709_10_chem
JPO_0000238,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)Oc1cc2c(c(O)c1OC)C1OC(CO)C(O)C(O)C1OC2=O,JPO,2008169174_16_chem
JPO_0000042,c1cc2c(Cc3cc(OCC4CO4)cc4cc(OCC5CO5)ccc34)cc(OCC3CO3)cc2cc1OCC1CO1,JPO,2008038180_9_chem
JPO_0000165,Cc1cc(CN2CC(C(=O)O)C2)sc1-c1noc(-c2ccc(Oc3ccccc3)c(F)c2)n1,JPO,2008120794_36_chem
JPO_0000389,O=C(CN1CCN(c2ccccc2F)CC1)Nc1ccccc1Sc1ccc(Cl)cc1,JPO,2008266237_44_chem
JPO_0000246,CCC1CO1,JPO,2008174758_51_chem
JPO_0000028,C=CC(=O)OC(COCCCC)COc1ccc(OCC(COCCCC)OC(=O)C=C)c2ccccc12,JPO,2008024694_6_chem
JPO_0000228,C=C1SCCCS1,JPO,2008163035_4_chem
JPO_0000244,C.C=CCn1c(=O)n(CC)c(=O)n(CC=C)c1=O,JPO,2008171589_3_chem
JPO_0000121,O=[PH]1Oc2ccccc2-c2ccccc21,JPO,2008094933_9_chem
JPO_0000297,COc1c(Cc2c(C)cc(O)cc2O)c(C)cc(O)c1C(=O)O,JPO,2008214335_15_chem
JPO_0000154,COc1cc(OC)c2c(c1C)OCO2,JPO,2008115159_5_chem
JPO_0000180,FC(F)(F)c1ccccc1-c1nc2cc(C(c3ccc4oc(-c5ccccc5C(F)(F)F)nc4c3)(C(F)(F)F)C(F)(F)F)ccc2o1,JPO,2008130599_7_chem
JPO_0000412,Cn1sccc1=O,JPO,2008279331_3_chem
JPO_0000306,O=S(=O)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,JPO,2008214547_9_chem
JPO_0000409,O=C(OCCOC(=O)c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,JPO,2008276174_4_chem
JPO_0000185,CC/C=C(\C)CO,JPO,2008133310_5_chem
JPO_0000179,Cc1cc(-c2ccccc2)c2ccc3c(-c4ccccc4)cc(C)nc3c2n1,JPO,2008129452_8_chem
JPO_0000442,c1ccc(N(c2ccccc2)c2c3ccccc3c(N(c3ccccc3)c3ccccc3)c3ccccc23)cc1,JPO,2008294184_12_chem
