key,Img_path,GD,OCMR,Group,Is_OCMR_true,OSRA,Is_OSRA_true,MolVec,Is_MolVec_true,Imago,Is_Imago_true
JPO_0000302,JPO_0000302.png,COc1ccc(NC(C)C)cc1,COC1=CC=C(NC(C)C)C=C1,JPO,True,COc1ccc(cc1)NC(C)C,True,COC1=CC=C(NC(C)C)C=C1,True,COc1ccc(NC(C)C)cc1,True
JPO_0000432,JPO_0000432.png,O=C(/C=C/c1cccn1-c1ccc(Cl)cc1C(O)c1cccc2c1OCCO2)OCc1ccccc1,O=C(C=CC1=CC=CN1C1=CC=C(Cl)C=C1C(O)C1=C2OCCOC2=CC=C1)OCC1=CC=CC=C1,JPO,False,O=C(OCc1ccccc1)/C=C/c1cccn1c1ccc(cc1C(c1cccc2c1OCCO2)O)Cl,True,O=C(/C=C/C1=CC=CN1C1=CC=C(Cl)C=C1C(O)C1=C2\OCCO\C2=C/C=C\1)OCC1=CC=CC=C1,True,Cc1ccc(-n2cccc2/C=C/C(=O)CCc2ccccc2)c(C(O)c2cccc3c2OCCO3)c1,False
JPO_0000029,JPO_0000029.png,c1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2cccc(-n3nc(-c4ccccc4)cc3-c3ccccc3)c2)cc1,N=C(C=C(NC1=CC=CC(N2C3=C(C=C(C4=CC=CC=C4)C=C3)C3=C2C=CC(C2=CC=CC=C2)=C3)=C1)C1=CC=CC=C1)C1=CC=CC=C1,JPO,False,C/N=C(/C1CC=CC=C1)\C=C(\c1ccccc1)/Nc1cccc(c1)n1c2ccc(cc2c2c1ccc(c2)c1ccccc1)c1ccccc1,False,C1=CC=C(C2=CC3=C(C=C2)N(C2=CC(N4N=C(C5=CC=CC=C5)C=C4C4=CC=CC=C4)=CC=C2)C2=C3C=C(C3=CC=CC=C3)C=C2)C=C1,True,c1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2cccc(-n3nc(-c4ccccc4)cc3-c3ccccc3)c2)cc1,True
JPO_0000009,JPO_0000009.png,Cc1nc(Cl)c2[nH]c(=O)n(-c3ccc(C(C)C)cc3Br)c2n1,CC1=NC(Cl)=C2NC(=O)N(C3=CC=C(C(C)C)C=C3Br)C2=N1,JPO,True,Cc1nc(Cl)c2c(n1)n(c(=O)[nH]2)C1=CC=C(CC1C)C(C)C,False,CC1=NC(Cl)=C2NC(=O)N(C3=CC=C(C(C)C)C=C3Br)C2=N1,True,Cc1nc(C)c(N)c(Nc2ccc(C(C)C)cc2Br)n1,False
JPO_0000231,JPO_0000231.png,C=Cc1ccc(C2C(=O)OC23CCCC3)cc1,CCC1(CC)OC(=O)C1C1=CC=C(C)C=C1,JPO,False,C=Cc1ccc(cc1)C1C(=O)OC21CCCC2,True,C=CC1=CC=C(C(C(=O)[O-])C2CCCC2)C=C1,False,C=Cc1ccc(C2C(=O)OC23CCCC3)cc1,True
JPO_0000210,JPO_0000210.png,CCCCCCCCN1/C(=C2\SC(=S)N(CC)C2=O)Sc2ccccc21,CCCN1C2=CC=CC=C2SC1=C1SC(=S)N(CC)C1=O,JPO,False,CCCCCCCCN1c2ccccc2S/C/1=[C]\1=SC(=S)N(C1=O)CC,False,CCN1C(=O)/C(=C2\SC3=CC=CC=C3N2C(I)(I)(I)(I)(I)(I)I)SC1=S,False,*N1/C(=C2\SC(=S)N(CC)C2=O)Sc2ccccc21,False
JPO_0000296,JPO_0000296.png,Cc1cc2ccc3ccc(o3)c(=O)c3cc(cc1o2)c1cc3cc2ccc(ccc3cc(C)c(o3)c1=O)o2,[H]C1=C2C(=O)C3=CC=C(C=CC4=CC(C)=C(O4)C([H])=C1C1=C([H])C2=C([H])C2=CC=C(C=CC4=CC(C)=C(O4)C1=O)O2)O3,JPO,True,Cc1cc2oc1cc1cc(c3cc1c(=O)c1oc(cc1C)ccc1oc(c3)cc1)c(=O)c1oc(cc2)cc1,True,[H]/C1=C2/C(/[H])=C(C(=O)/C3=C(C)/C=C(/C=C\C4=CC=C1O4)O3)\C1=C(/[H])C3=C(C)C=C(/C=C\C4=CC=C(O4)C(=O)\C2=C\1[H])O3,True,Cc1cc2ccc3ccc(o3)c(=O)c3cc(cc1o2)c1cc3cc2ccc(ccc3cc(C)c(o3)c1=O)o2,True
JPO_0000217,JPO_0000217.png,CC(C)(C)c1ccncc1,CC(C)(C)C1=CC=NC=CC1,JPO,False,"CC1C*CC(C1)C1CCCC1
C1CCC2(CC1)CCC2
CCC1CCCC(CC(CC1C(C)C)C)C1CCCC1
*C1CCC2C([C@@H]1*)CC2",False,CC(C)(C)C1=CC=NC=C1,True,CCC(C)(C)c1ccncc1,False
JPO_0000127,JPO_0000127.png,COc1cc(/C=C2\CCCN(Cc3ccc(C(C)(C)C)cc3)C2=O)ccc1-n1cnc(C)c1,COC1=C(N2C=NC(C)=C2)C=CC(C=C2CCCN(CC3=CC=C(C(C)(C)C)C=C3)C2=O)=C1,JPO,False,COc1cc(ccc1n1cnc(c1)C)/C=C/1\CCCN(C1=O)Cc1ccc(cc1)C(C)(C)C,True,COC1=C(N2C=NC(C)=C2)C=CC(/C=C2\CCCN(CC3=CC=C(C(C)(C)C)C=C3)C2=O)=C1,True,COc1cc(/C=C2\CCCN(Cc3ccc(C(C)(C)C)cc3)C2=O)ccc1-n1cnc(C)c1,True
JPO_0000125,JPO_0000125.png,c1ccc(-c2ccc(-c3c4ccccc4c(-c4ccc(-c5ccccc5)cc4)c4c(-c5ccccc5)c5ccccc5c(-c5ccccc5)c34)cc2)cc1,C=S(=C)(C)C1=CC=C(C2=C3C=CC=CC3=C(C3=CC=C(C4=CC=CC=C4)C=C3)C3=C(C4=CC=CC=C4)C4=CC=CC=C4C(C4=CC=CC=C4)=C23)C=C1,JPO,False,C[C]1(=C=C=C*=C1)C1CCC(=C1)CC1=c2ccccc2=C(C2C1=C(c1*cccc1)C1CC=CC=C1C2C1CCCC=C1)C1=CCC(C=C1)C1=C2CC2=CCC1,False,OC1=CC=C(C2=O=C(C3=CC=C(C4=CC=CC=C4)C=C3)C3=C(C4=CC=CC=C4)OC(C4=CC=CC=C4)=C23)C=C1,False,C=C.C=C.CC.CC(C)C.CCC.CCCC.CCCCC,False
